component_name,unit_name,operand_name,current_state,event_type,route_path,http_method,next_state,description
workload,step,register,PAUSED,WorkloadRegisterTerminated,/workload/register,POST,TERMINATED,Register Workload for step from PAUSED to TERMINATED
workload,step,register,PAUSED,WorkloadRegisterContinued,/workload/register,POST,CONTINUED,Register Workload for step from PAUSED to CONTINUED
workload,step,register,CONTINUED,WorkloadRegisterFailed,/workload/register,POST,FAILED,Register Workload for step from CONTINUED to FAILED
workload,step,register,CONTINUED,WorkloadRegisterCompleted,/workload/register,POST,COMPLETED,Register Workload for step from CONTINUED to COMPLETED
workload,step,register,CONTINUED,WorkloadRegisterTerminated,/workload/register,POST,TERMINATED,Register Workload for step from CONTINUED to TERMINATED
workload,step,register,CONTINUED,WorkloadRegisterPaused,/workload/register,POST,PAUSED,Register Workload for step from CONTINUED to PAUSED
workload,step,register,RESTARTED,WorkloadRegisterFailed,/workload/register,POST,FAILED,Register Workload for step from RESTARTED to FAILED
workload,step,register,RESTARTED,WorkloadRegisterCompleted,/workload/register,POST,COMPLETED,Register Workload for step from RESTARTED to COMPLETED
workload,step,register,RESTARTED,WorkloadRegisterTerminated,/workload/register,POST,TERMINATED,Register Workload for step from RESTARTED to TERMINATED
workload,step,register,RESTARTED,WorkloadRegisterPaused,/workload/register,POST,PAUSED,Register Workload for step from RESTARTED to PAUSED
workload,step,register,RESTARTED,WorkloadRegisterContinued,/workload/register,POST,CONTINUED,Register Workload for step from RESTARTED to CONTINUED
workload,task,register,REQUESTED,WorkloadRegisterRegistered,/workload/register,POST,REGISTERED,Register Workload for task from REQUESTED to REGISTERED
workload,task,register,REQUESTED,WorkloadRegisterCanceled,/workload/register,POST,CANCELED,Register Workload for task from REQUESTED to CANCELED
workload,task,register,REGISTERED,WorkloadRegisterStarted,/workload/register,POST,STARTED,Register Workload for task from REGISTERED to STARTED
workload,task,register,REGISTERED,WorkloadRegisterCanceled,/workload/register,POST,CANCELED,Register Workload for task from REGISTERED to CANCELED
workload,task,register,STARTED,WorkloadRegisterFailed,/workload/register,POST,FAILED,Register Workload for task from STARTED to FAILED
workload,task,register,STARTED,WorkloadRegisterCompleted,/workload/register,POST,COMPLETED,Register Workload for task from STARTED to COMPLETED
workload,task,register,STARTED,WorkloadRegisterTerminated,/workload/register,POST,TERMINATED,Register Workload for task from STARTED to TERMINATED
workload,task,register,STARTED,WorkloadRegisterPaused,/workload/register,POST,PAUSED,Register Workload for task from STARTED to PAUSED
workload,task,register,FAILED,WorkloadRegisterRestarted,/workload/register,POST,RESTARTED,Register Workload for task from FAILED to RESTARTED
workload,task,register,TERMINATED,WorkloadRegisterRestarted,/workload/register,POST,RESTARTED,Register Workload for task from TERMINATED to RESTARTED
workload,task,register,PAUSED,WorkloadRegisterCompleted,/workload/register,POST,COMPLETED,Register Workload for task from PAUSED to COMPLETED
workload,task,register,PAUSED,WorkloadRegisterTerminated,/workload/register,POST,TERMINATED,Register Workload for task from PAUSED to TERMINATED
workload,task,register,PAUSED,WorkloadRegisterContinued,/workload/register,POST,CONTINUED,Register Workload for task from PAUSED to CONTINUED
workload,task,register,CONTINUED,WorkloadRegisterFailed,/workload/register,POST,FAILED,Register Workload for task from CONTINUED to FAILED
workload,task,register,CONTINUED,WorkloadRegisterCompleted,/workload/register,POST,COMPLETED,Register Workload for task from CONTINUED to COMPLETED
workload,task,register,CONTINUED,WorkloadRegisterTerminated,/workload/register,POST,TERMINATED,Register Workload for task from CONTINUED to TERMINATED
workload,task,register,CONTINUED,WorkloadRegisterPaused,/workload/register,POST,PAUSED,Register Workload for task from CONTINUED to PAUSED
workload,task,register,RESTARTED,WorkloadRegisterFailed,/workload/register,POST,FAILED,Register Workload for task from RESTARTED to FAILED
workload,task,register,RESTARTED,WorkloadRegisterCompleted,/workload/register,POST,COMPLETED,Register Workload for task from RESTARTED to COMPLETED
workload,task,register,RESTARTED,WorkloadRegisterTerminated,/workload/register,POST,TERMINATED,Register Workload for task from RESTARTED to TERMINATED
workload,task,register,RESTARTED,WorkloadRegisterPaused,/workload/register,POST,PAUSED,Register Workload for task from RESTARTED to PAUSED
workload,task,register,RESTARTED,WorkloadRegisterContinued,/workload/register,POST,CONTINUED,Register Workload for task from RESTARTED to CONTINUED
workload,action,register,REQUESTED,WorkloadRegisterRegistered,/workload/register,POST,REGISTERED,Register Workload for action from REQUESTED to REGISTERED
workload,action,register,REQUESTED,WorkloadRegisterCanceled,/workload/register,POST,CANCELED,Register Workload for action from REQUESTED to CANCELED
workload,action,register,REGISTERED,WorkloadRegisterStarted,/workload/register,POST,STARTED,Register Workload for action from REGISTERED to STARTED
workload,action,register,REGISTERED,WorkloadRegisterCanceled,/workload/register,POST,CANCELED,Register Workload for action from REGISTERED to CANCELED
